unit_id,stage,model,scenario,technology,patch_id,logical_owner,submit_account,submit_host,submit_username,assignment_version,attempt,dependencies,expected_output,status,prepared_script_name,resource_profile,cpus_per_task,processes
extreme/CANESM5/ssp126/wind/R01C11,extreme,CANESM5,ssp126,wind,R01C11,乌镇1555,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/CANESM5/ssp126/wind/R01C11,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C11/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C11_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C12,extreme,CANESM5,ssp126,wind,R01C12,乌镇151,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/CANESM5/ssp126/wind/R01C12,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C12/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C12_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C01,extreme,CANESM5,ssp126,wind,R02C01,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/CANESM5/ssp126/wind/R02C01,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C01/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C01_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C02,extreme,CANESM5,ssp126,wind,R02C02,乌镇173,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/CANESM5/ssp126/wind/R02C02,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C02/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C02_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C03,extreme,CANESM5,ssp126,wind,R02C03,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/CANESM5/ssp126/wind/R02C03,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C03/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C03_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C04,extreme,CANESM5,ssp126,wind,R02C04,乌镇173,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/CANESM5/ssp126/wind/R02C04,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C04/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C04_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C05,extreme,CANESM5,ssp126,wind,R02C05,乌镇1500,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/CANESM5/ssp126/wind/R02C05,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C05/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C05_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C06,extreme,CANESM5,ssp126,wind,R02C06,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/CANESM5/ssp126/wind/R02C06,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C06/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C06_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C07,extreme,CANESM5,ssp126,wind,R02C07,乌镇1850,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/CANESM5/ssp126/wind/R02C07,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C07/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C07_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C08,extreme,CANESM5,ssp126,wind,R02C08,乌镇9359,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/CANESM5/ssp126/wind/R02C08,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C08/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C08_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C09,extreme,CANESM5,ssp126,wind,R02C09,乌镇1850,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/CANESM5/ssp126/wind/R02C09,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C09/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C09_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C10,extreme,CANESM5,ssp126,wind,R02C10,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/CANESM5/ssp126/wind/R02C10,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C10/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C10_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C11,extreme,CANESM5,ssp126,wind,R02C11,乌镇1555,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/CANESM5/ssp126/wind/R02C11,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C11/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C11_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R02C12,extreme,CANESM5,ssp126,wind,R02C12,乌镇173,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/CANESM5/ssp126/wind/R02C12,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R02C12/wind.nc,not_submitted,extp_CANESM5_ssp126_R02C12_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C03,extreme,CANESM5,ssp126,wind,R03C03,乌镇151,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/CANESM5/ssp126/wind/R03C03,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C03/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C03_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C04,extreme,CANESM5,ssp126,wind,R03C04,乌镇1555,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/CANESM5/ssp126/wind/R03C04,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C04/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C04_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C05,extreme,CANESM5,ssp126,wind,R03C05,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/CANESM5/ssp126/wind/R03C05,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C05/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C05_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C06,extreme,CANESM5,ssp126,wind,R03C06,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/CANESM5/ssp126/wind/R03C06,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C06/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C06_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C07,extreme,CANESM5,ssp126,wind,R03C07,乌镇1500,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/CANESM5/ssp126/wind/R03C07,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C07/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C07_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C08,extreme,CANESM5,ssp126,wind,R03C08,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/CANESM5/ssp126/wind/R03C08,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C08/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C08_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C09,extreme,CANESM5,ssp126,wind,R03C09,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/CANESM5/ssp126/wind/R03C09,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C09/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C09_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R03C10,extreme,CANESM5,ssp126,wind,R03C10,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/CANESM5/ssp126/wind/R03C10,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R03C10/wind.nc,not_submitted,extp_CANESM5_ssp126_R03C10_wind.sh,resource_v3_extreme_multiprocess,16,16
