submit_account,host,username,patch_count,unit_count,units_per_model,active_job_limit
乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,9,216,54,20
乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,8,192,48,20
乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,8,192,48,20
乌镇1352,scnet-wuzhen-1352,acm83pfnji,8,192,48,20
乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,7,168,42,20
乌镇1500,scnet-wuzhen-1500,acp6varuz3,7,168,42,20
